Paragraph,Labels,Grade
"Right Hand Thumb Rule:
The direction of magnetic field; in relation to direction of electric current through a straight conductor can be depicted by using the Right Hand Thumb Rule. It is also known as Maxwell’s Corkscrew Rule.
If a current carrying conductor is held by right hand; keeping the thumb straight and if the direction of electric current is in the direction of thumb, then the direction of wrapping of other fingers will show the direction of magnetic field.
As per Maxwell’s corkscrew rule, if the direction of forward movement of screw shows the direction of current, then the direction of rotation of screw shows the direction of magnetic field.
","Property, Reasoning",Grade_10_Physics_Data
"Properties of Magnetic Field:

The magnitude; of magnetic field increases with increase in electric current and decreases with decrease in electric current.
The magnitude of magnetic field; produced by electric current; decreases with increase in distance and vice-versa. The size of concentric circles of magnetic field lines increases with distance from the conductor, which shows that magnetic field decreases with distance.
Magnetic field lines are always parallel to each other.
No two field lines cross each other.",Property,Grade_10_Physics_Data
"Magnetic field due to current through a circular loop:
In case of a circular current carrying conductor, the magnetic field is produced in the same manner as it is in case of a straight current carrying conductor.

In case of a circular current carrying conductor, the magnetic field lines would be in the form of concentric circles around every part of the periphery of the conductor. Since, magnetic field lines tend to remain closer when near the conductor, so the magnetic field would be stronger near the periphery of the loop. On the other hand, the magnetic field lines would be distant from each other when we move towards the centre of the current carrying loop. Finally; at the centre, the arcs of big circles would appear as a straight lines.

The direction of magnetic field can be identified using Right Hand Thumb’s Rule. Let us assume that the current is moving in anti-clockwise direction in the loop. In that case, the magnetic field would be in clockwise direction; at the top of the loop. Moreover, it would be in anticlockwise direction at the bottom of the loop.
","Property, Reasoning",Grade_10_Physics_Data
"Clock Face Rule: A current carrying loop works like a disc magnet. The polarity of this magnet can be easily understood with the help of clock face rule. If the current is flowing in anti-clockwise direction, then the face of the loop shows north pole. On the other hand, if the current is flowing in clockwise direction, then the face of the loop shows south pole.

",Property,Grade_10_Physics_Data
"Magnetic field and number of turns of coil: Magnitude of magnetic field gets summed up with increase in the number of turns of coil. If there are ‘n’ turns of coil, magnitude of magnetic field will be ‘n’ times of magnetic field in case of a single turn of coil.

","Property, Relation",Grade_10_Physics_Data
"Magnetic Field due to a current in a Solenoid:

Solenoid is the coil with many circular turns of insulated copper wire wrapped closely in the shape of cylinder.

A current carrying solenoid produces similar pattern of magnetic field as a bar magnet. One end of solenoid behaves as the north pole and another end behaves as the south pole. Magnetic field lines are parallel inside the solenoid; similar to a bar magnet; which shows that magnetic field is same at all points inside the solenoid.

By producing a strong magnetic field inside the solenoid, magnetic materials can be magnetized. Magnet formed by producing magnetic field inside a solenoid is called electromagnet.","Definition, Property",Grade_10_Physics_Data
"Force on a current carrying conductor in a magnetic field:
A current carrying conductor exerts a force when a magnet is placed in its vicinity. Similarly, a magnet also exerts equal and opposite force on the current carrying conductor. This was suggested by Marie Ampere, a French Physicist and considered as founder of science of electromagnetism.

The direction of force over the conductor gets reversed with the change in direction of flow of electric current. It is observed that the magnitude of force is highest when the direction of current is at right angles to the magnetic field.",Property,Grade_10_Physics_Data
"Fleming’s Left Hand Rule:
If direction of electric current is perpendicular to the magnetic field, the direction of force is also perpendicular to both of them. The Fleming’s Left Hand Rule states that if the left hand is stretched in a way that the index finger, the middle finger and the thumb are in mutually perpendicular directions; then the index finger and middle finger of a stretched left hand show the direction of magnetic field and direction of electric current respectively and the thumb shows the direction of motion or force acting on the conductor. The directions of electric current, magnetic field and force are similar to three mutually perpendicular axes, i.e. x, y and z axes.

Many devices, such as electric motor, electric generator, loudspeaker, etc. works on the Fleming’s left Hand Rule.","Property, Reasoning, Examples",Grade_10_Physics_Data
"Electric Motor:
Electrical energy is converted into mechanical energy by using an electric motor. Electric motor works on the basis of rule suggested by Marie Ampere and Fleming’s Left Hand Rule.

In an electric motor, a rectangular coil is suspended between the two poles of a magnetic field. The electric supply to the coil is connected with a commutator. Commutator is a device which reverses the direction of flow of electric current through a circuit.

When electric current is supplied to the coil of electric motor, it gets deflected because of magnetic field. As it reaches the half way, the split ring which acts as commutator reverses the direction of flow of electric current. Reversal of direction of current reverses the direction of forces acting on the coil. The change in direction of force pushes the coil; and it moves another half turn. Thus, the coil completes one rotation around the axle. Continuation of this process keeps the motor in rotation.

In commercial motor, electromagnet; instead of permanent magnet; and armature is used. Armature is a soft iron core with large number of conducting wire turns over it. Large number of turns of conducting wire enhances the magnetic field produced by armature.
","Property, Reasoning, Definition",Grade_10_Physics_Data
"Electromagnetic Induction
Michael Faraday, an English Physicist is supposed to have studied the generation of electric current using magnetic field and a conductor.

When a conductor is set to move inside a magnetic field or a magnetic field is set to be changing around a conductor, electric current is induced in the conductor. This is just opposite to the exertion of force by a current carrying conductor inside a magnetic field. In other words, when a conductor is brought in relative motion vis-à-vis a magnetic field, a potential difference is induced in it. This is known as electromagnetic induction.

Electromagnetic induction can be explained with the help of Fleming’s Right Hand Rule. If the right hand is stretched in a way that the index finger, middle finger and thumb are in mutually perpendicular directions, then the thumb shows the direction of movement of the conductor, index finger shows the direction of magnetic field and the middle finger shows the direction of induced current in the conductor. The directions of movement of conductor, magnetic field and induced current can be compared to three mutually perpendicular axes, i.e. x, y and z axes.

The mutually perpendicular directions also point to an important fact that the when the magnetic field and movement of conductor are perpendicular, the magnitude of induced current would be maximum.

Electromagnetic induction is used in the conversion of kinetic energy into electrical energy.","Property, Reasoning",Grade_10_Physics_Data
"Electric generator:
The structure of electric generator is similar to that of an electric motor. In case of an electric generator a rectangular armature is placed within the magnetic field of a permanent magnet. The armature is attached to wire and is positioned in way that it can move around an axle. When the armature moves within the magnetic field an electric current is induced. The direction of induced current changes, when the armature crosses the halfway mark of its rotation. Thus, the direction of current changes once in every rotation. Due to this, the electric generator usually produces alternate current, i.e. AC. To convert an AC generator into a DC generator, a split ring commutator is used. This helps in producing direct current.","Definition, Property, Reasoning",Grade_10_Physics_Data
"AC – Alternate current: Current in which direction is changed periodically is called Alternate Current. In India, most of the power stations generate alternate current. The direction of current changes after every 1/100 second in India, i.e. the frequency of AC in India is 50 Hz. AC is transmitted upto a long distance without much loss of energy is advantage of AC over DC","Definition, Property",Grade_10_Physics_Data
"DC – Direct current: Current that flows in one direction only is called Direct current. Electrochemical cells produce direct current.

","Definition, Property",Grade_10_Physics_Data
 Conditions of the good fuel      (i) High calorific value      (ii) Less smoke      (iii) Less residue left after burning      (iv) Easy available      (v) Inexpensive      (vi) Easy to store and transport,Property,Grade_10_Physics_Data
"FOSSIL FUELS: Millions of years ago plants and animals tissues got buried under the ground and were subjected to high temperature and pressure. Coal is a fossil fuel which was formed due to subjection of plant tissues under high pressure and temperature. While petroleum is obtained from the remains of animals between sedimentary rocks.
   These are non-renewable sources of energy and lead to pollution on combustion.","Property, Reasoning",Grade_10_Physics_Data
"THERMAL POWER PLANT: -Thermal power plant use coal, petroleum and natural gas to produce thermal electricity.          -The steam produced is used to run the turbine to generate electricity.          - Electricity transmission is more efficient.
      Disadvantages     •  Fossil fuels are used which is non- renewable source of energy.     •  Leads to water and air pollution.","Property, Causes, Reasoning, Effects",Grade_10_Physics_Data
" HYDRO POWER PLANTS     It is the most conventional renewable source obtained from water falling on from the height     •  It Is clean non- polluting source of energy     •  Dams are constructed near rivers. As the water level rises, the kinetic energy of water gets changed to potential energy     •  The water is released to rotate the turbine and electricity is generated.

          Disadvantages     •  Highly expensive     •  Dams can be made at limited areas     •  Large areas of human habitation and agricultural fields are submerged     •  Problem of rehabilitation of displaced people","Property, Reasoning, Effects",Grade_10_Physics_Data
"WIND ENERGY: - It can be converted to mechanical and electrical energy
•  Kinetic energy of wind is used in lifting water from pump, grinding grains etc.
    ADVANTAGES

    •  Eco friendly    •  Renewable
    DISADVANTAGES

    •  Wind speed is not uniform    •  Need large areas for wind mills    •  Need lot of investment    •  Output is less","Property, Reasoning, Effects",Grade_10_Physics_Data
"SOLAR ENERGY: - Solar radiations can be converted to other forms of energy through photovoltaic cells.

    •  These cells convert solar radiations directly into electricity through silicones solar cells.

    •  Solar cookers are painted black from outside and a have glass plate to trap solar radiations by greenhouse effect.
    ADVANTAGES

    •  Eco friendly    •  Renewable    •  Used in rural areas
    DISADVANTAGES

    •  Silicon cells are expensive    •  Solar radiation are not uniform over earth’s surface    •  Can’t be used at night or on cloudy day.    •  Maximum temperature achieved by solar cooker is 100° C","Property, Reasoning, Effects",Grade_10_Physics_Data
"GEOTHERMAL ENERGY

        Utilization of heat in the interior of earth for power generation is called geothermal energy. In places where hot springs or geysers occur steam trapped in rocks is brought in turbine through pipes to generate electricity.
    ADVANTAGES

    •  Renewable    •  Inexpensive
    DISADVANTAGES

    •  Only available in few sites","Definition, Property, Effects",Grade_10_Physics_Data
"  NUCLEAR ENERGY        Radioactive elements generate large amount of energy e.g. 1 ton of U-235 provide as much as energy as 3 million ton of coal.        It is sued for heat generation and as fuel for marine vessels.
    ADVANTAGES

    •  Alternative source due to depletion of fossil fuels    •  From small amount of fuel large amount of energy is obtained
    DISADVANTAGES

    •  Risk of nuclear wastage    •  High cost    •  Pollution","Property, Reasoning, Effects",Grade_10_Physics_Data
"ENERGY FROM THE SEA    •  Tidal energy: depends upon the harnessing of rise and fall of the sea level due to tidal energy. Dams are constructed across a narrow part of sea and turbine converts tidal energy to electricity    •  Ocean thermal energy: the difference in temperature of water at surface and the water at the depths is exploited. The warm surface water is used to boil ammonia and turbine is run by the vapours of ammonia.
","Definition, Property",Grade_10_Physics_Data
WAVE ENERGY    •  Waves of sea are used as their kinetic energy is converted into electrical energy    •  Turbine is used to produce electricity,"Definition, Property",Grade_10_Physics_Data
"Energy comes in different forms and energy can only be converted from one form to another. For example if we drop a plate from a height, the potential energy of the plate is converted mostly to sound energy when it hits the ground.",Property,Grade_10_Physics_Data
"If we light a candle, the process is highly exothermic so that the chemical energy of the wax is converted into heat energy and light energy on burning.",Property,Grade_10_Physics_Data
"A Good Source of Energy would be one

which has high calorific value.
be easily accessible.
be easy to store and transport
be economical.
Intermediate Ignition temperature.
Eco-friendly.
Less combustible.",Property,Grade_10_Physics_Data
"Fossil fuels * Solar Energy
Eg. Coal & Petroleum. Solar Cooker, Solar Cell Panel",Examples,Grade_10_Physics_Data
"Among the sources of energy, some of them get exhausted (Non-Renewable) While some of them do not get exhausted, therefore called as Renewable source of energy.","Types, Definition",Grade_10_Physics_Data
"1. Non Renewable source of energy Coal, Petroleum, Natural Gas
 Air, Water, Solar radiation, Geothermal Energy, ocean waves etc.

",Examples,Grade_10_Physics_Data
"1. Fossil Fuels :Fuels developed from the fossils. e.g. Coal & Petroleum.

Formed over million of years ago have only limited reserves
These are non-renewable source of energy
India has about 6% share in the world reserved coal, that may last 250 years more at the present rate of consumption.
Disadvantages of Burning Fossil Fuels
Released oxides of Carbon, Nitrogen, Sulphur (acidic in nature)cause Air pollution & Acid rain & green-house effect.","Definition, Property, Examples",Grade_10_Physics_Data
"A Model of Thermoelectric Production.
The Tennis ball having three slits filled with semicircular (plaster or Metallic) tins is our Turbine for generating electricity. Actually the steam produced impart energy to rotor of turbine which can move shaft of the generator to produce electricity. A very large amount of fossil fuels are burnt in Thermal Power Plant to heat up water to produce steam.",Property,Grade_10_Physics_Data
"Hydro-power Plants convert the potential energy of falling water into Electricity since there are few water-falls which could becaused as a source of potential energy, hence this is the reason, a large number of dams are built all over the world.
Around 25% of our country’s energy requirement is met by Hydro Power Plants
","Reasoning, Property",Grade_10_Physics_Data
"Dams are constructed to :
Prevent flooding of river, provide water for irrigation & to generate hydroelectricity.","Reasoning, Causes",Grade_10_Physics_Data
"Disadvantages of construction of Big Dams
1. Submerging/Loss of large variety of Flora fauna and human settlements& rotting of submerged vegetation release green house gas (CH4).

2. They pose dangers of earthquakes, landslides etc.","Effects, Property",Grade_10_Physics_Data
"Improvements in the Technology for using Conventional sources of energy :

Biomass is Agricultural & animal wastes that can be used as a fuel. E.g. of Biomass – Firewood, cattle dung, sewage, dry leaves, stems.

Normally biomass has low calorific value & produce lot of smoke when they are burnt. Their efficiency as a good fuel has been increased tremendously with the application of technology. For e.g. cow dung becomes efficient & cheap good fuel in a Bio-gas plant.
Charcoal is better fuel than wood because it does not contain water & other volatile material which are present in wood.
","Property, Examples, Reasoning",Grade_10_Physics_Data
"Charcoal burns without smoke, flames & has high calorific value.

Bio-gas is an excellent fuel & contains 75% of Methane (CH4t burns without smoke, leaves no residues like ash, with high heat capacity.
Bio-gas is produced by anaerobic decomposition of the slurry(cow dung + water mixture) by microbes. This process is applied in a Bio gas plant.

The Bio-gas is stored in the gas tank from which they are drawn through pipes for use in a Bio-gas plant
Bio gas is used for lighting, cooking in the rural areas. While the slurry left behind is used as excellent manure, rich in nitrogen and phosphorous
The large scale use of Bio-wastes & sewage material provide a safe and efficient method of waste-disposal besides supplying energy and manure.","Definition, Property",Grade_10_Physics_Data
"WIND ENERGY
Unequal heating of the landmass and water bodies by solar radiation generates air movement & causes winds to blow. This kinetic energy of the wind can be used to do work.
This energy is utilised to lift water from the well & to generate electricity in the wind mill.
Actually the rotatory motion of the windmill is used to turn the rotor of the turbine which then generate electricity through Dynamo.
The output of a single windmill is quite small so a number of windmills are erected over a large area – called wind energy farm.
India Ranked Fifth in the world in harnessing wind energy for the production of electricity. It is estimated that nearly 45,000 MW of electric power can be generated if
India’s wind potential is fully exploited.
The minimum wind speed for wind mill to serve as a source of energy is 20 KMPH.","Definition, Property",Grade_10_Physics_Data
"Advantages of Wind Energy
1. Eco friendly
2. Efficient source of renewable energy.
3. No recurring expenses for production of electricity","Effects, Property",Grade_10_Physics_Data
"Limitations of Wind Energy
1. Wind energy farms need large area of land
2. Difficulty in getting regular wind speed of 15-20 Km PH.
3. Initial cost of establishing wind energy farm is very high.
4. High level of maintenance of blades of wind mill.","Effects, Property",Grade_10_Physics_Data
"Solar Energy: The energy emitted by the sun in form of heat and light is called solar energy.

Solar Constant = 1.4 (kJ/s.m2)

Outer edge of the earth receives solar energy equal to 1.4 kJ/s.m2 which is known as solar constant.

",Definition,Grade_10_Physics_Data
"Solar Energy Devices: A large number of devices that utilize solar energy directly like :

(i) Solar Cooker
(ii) Solar furnaces
(iii) Solar cells
(iv) Solar water heaters","Definition, Examples",Grade_10_Physics_Data
"Solar Heating Devices
Use black painted surface because black surface absorbs more heat as compared to white or other surface.
Use of glass plate because it allows shorter wave lengths infrared radiations to enter through it but doesn’t allow the infrared radiations to exit through it, causing more green House effect that results in increase in temperature.","Property, Effects",Grade_10_Physics_Data
"SOLAR COOKER
Box Type Solar Cooker

It consists of a rectangular box which is made up of material such as plastic or wood.
Box is covered with black sheet and its inner walls are painted black to increase heat absorption.
Solar cookers are covered with glass plate and have mirrors to focus the rays of the sun and achieve a higher temperature.

1. Use energy which is available in plenty (Solar Energy)
2. Is pollution free.
(i). Cannot be used for frying or baking purpose.
(ii). Food cannot be cooked at night or on a cloudy day.
(iii). Direction of reflector of solar heating has to be changed from time to time to keep it facing the sun.

","Definition, Property",Grade_10_Physics_Data
"SOLAR CELLS
Solar cells are device that convert Solar energy into electricity.
Develops a voltage of 0.5 – IV and can produce about 0.7 W of electricity.","Definition, Property",Grade_10_Physics_Data
"Advantages of Solar Cell
Require a little maintenance
Have no moving part.
No focusing device is required
Can be set up in remote areas.
Environment – friendly i.e. do not cause pollution.","Effects, Property",Grade_10_Physics_Data
"Disadvantage of Solar Cells
1. It require high cost
2. Efficiency is low
3. Initial cost of installation is quite high.

","Effects, Property",Grade_10_Physics_Data
"Uses of Solar Cell
1. Used in calculators, watches etc.
2. Used in artificial satellites and space probes.
3. It is used in radio or wireless transmission system.","Property, Reasoning",Grade_10_Physics_Data
"SOLAR PANEL
A large number of Solar Cells connected to each other in an arrangement is called solar panel.

",Definition,Grade_10_Physics_Data
"Material used for Making Solar Cells
Silicon
Silver is used for inter connection of cells.",Property,Grade_10_Physics_Data
"ENERGY FROM THE SEA OR OCEAN: The energy from the sea is available in the following forms:
(i) Energy of sea waves
(ii) Tidal energy
iii) Ocean Thermal Energy.",Types,Grade_10_Physics_Data
"(i) Energy of Sea Waves

The waves are generated by the strong winds that blows across the sea.
The kinetic energy of this moving water rotates the turbine of a generator
When strong winds stop blowing, the generator stops producing electricity

","Definition, Property",Grade_10_Physics_Data
"(ii) Tidal Energy

The tidal energy possessed by water during tides.

The tides are caused due to gravitational force of attraction exerted by the moon on the water of the ocean.
This form of energy is harnessed by constructing a dam across a narrow opening to the sea.
A turbine fixed at the opening of the dam converts tidal energy to electricity.
","Definition, Causes, Property",Grade_10_Physics_Data
"(iii) Ocean Thermal Energy

The power plants used to harness the ocean thermal energy is known as “Ocean Thermal Energy Conversion Plant” (OTEC)

Temperature difference between surface water and water at the depth of 2km should be 20°C or more.
The warm surface water is used to boil ammonia (liquid)
The vapours of the liquid are used to run the turbine of generator.
The cold water (from deeper layers) is pumped up to condense the vapour into liquid.","Definition, Property",Grade_10_Physics_Data
"Geothermal Energy

1. Energy stored as heat inside the earth
2. The steam of underground water is taken out by sinking pipes through holes drilled in the earth’s crust. The steam under high pressure is used to rotate the turbines of the generator to produce electricity.

","Definition, Property",Grade_10_Physics_Data
"NUCLEAR ENERGY
Nuclear energy is the energy which is stored in the nucleus of an atom.
Nuclear energy is of two types
Nuclear fission nucleus of a heavy atom (Uranium) when bombarded with low
energy neutron split (break down) into lighter nuclei and huge amount of energy is released
Nuclear Fusion  When two lighter nuclei join up to form heavy nucleus and tremendous amount of energy is released.
Nuclear fission process is utilized in nuclear reactors to produce electricity.
Major Nuclear power plants : Tarapur, Rana Pratap Sagar, Kalpakkam.
","Definition, Types, Property, Examples",Grade_10_Physics_Data
"Advantages of Nuclear Energy
1. Large amount of energy is released.
2. In nuclear power plant, the nuclear fuel is inserted once to get energy over a long period of time.","Effects, Property",Grade_10_Physics_Data
"Disadvantages of Nuclear Energy
1. High cost of installation.
2. Environmental contamination may occur due to improper nuclear waste disposal.","Effects, Property",Grade_10_Physics_Data
How long will energy source last: Continuous use of non-renewable source of energy is a matter of concern because ultimately the deposit of these sources will be completely finished on the other hand renewable sources of energy will last forever e.g sun as a source of energy will be available for a very long period of time.,Reasoning,Grade_10_Physics_Data
"Introduction to Source of Energy
Source of energy is anything which supplies us useful energy for carrying out the various activities like
(i) Heat energy to cook food
(ii) Electrical energy to lighten the room.
(iii) Muscular energy to carry bag and to run bicycle
(iv) Sound energy to call friends.","Definition, Examples",Grade_10_Physics_Data
"Renewable and Non-Renewable Source of Energy
Renewable source of energy is the energy source which can be replenished in short period. Example Solar energy, hydropower
An energy source which cannot be recreated in short period is categorized as non-renewable source of energy. Example Fossil Fuel-oil, natural gas, Coal ","Types, Definition, Examples",Grade_10_Physics_Data
"Good Sources of Energy
A good source of energy has following characteristics:
(i) It could do a large amount of work per unit volume or mass.
(ii) It would be easily accessible.
(iii) it would be easy to store and transport.
(iv) It would be economical.",Property,Grade_10_Physics_Data
"Conventional and Non -Conventional Source of Energy
Sources of energy which has been in use from Centuries are called the conventional source of energy. Example Wood,Coal,Petrol,hydropower
Source of energy which we have started using in recent times is called Non-conventional energy sources Example Nuclear energy, Geothermal energy, Solar energy, Ocean tides
","Types, Definition, Examples",Grade_10_Physics_Data
"Fossils Fuels
-Fossils fuel are the remains of the pre-historic animal and plants buried under the earth millions of years ago.bv
-They are non-renewable sources of energy
- Since fossils fuels from plants and animals and they get energy from Sun, so their ultimate source of energy is Sun
Example
Coal, Petroleum products","Definition, Property. Examples",Grade_10_Physics_Data
"Turbine
A turbine is device that rotates when steam, water or wind false on its blades. The turbine turns the shaft of the electric generator and then electricity is produced ","Definition, Property",Grade_10_Physics_Data
"Thermal Power Plants
Thermal power plants burn fossils fuel like coal which heat up the water to produce steam and Steam is used in Turbine to generate electricity.
The term thermal power plant is used since fuel is burnt to produce heat energy which is converted into electrical energy","Definition, Reasoning",Grade_10_Physics_Data
"Hydropower Plants
In hydropower plants,kinetic energy of the flowing water or the potential energy of the water at height is used to turn the turbine and generate electricity.
To produce hydel electricity, high-rise dams are constructed on the river to obstruct the flow of water and thereby collect water in larger reservoirs. The water level rises and in this process the kinetic energy of flowing water gets transformed into potential energy. The water from the high level in the dam is carried through pipes, to the turbine, at the bottom of the dam","Definition, Property",Grade_10_Physics_Data
"Biomass
Biomass is any organic matter from which we get energy on the renewable basis. It includes wood, Agricultural residues, animal excreta, wastes from food processing.Two important Biomass energy sources are given below","Definition, Property",Grade_10_Physics_Data
"Charcoal
Charcoal is produced by burning wood in an insufficient supply of water. This method is called destructive distillation of wood. Charcoal burns without flames, is comparatively smokeless and has a higher heat generation efficiency
","Definition, Property",Grade_10_Physics_Data
"Biogas
Cow-dung, various plant materials like the residue after harvesting the crops, vegetable waste and sewage are decomposed in the absence of oxygen to give bio-gas. Anaerobic micro-organisms that do not require oxygen decompose or break down complex compounds of the cow-dung slurry. The process is called anaerobic digestion
Since the starting material is mainly cow-dung, it is popularly known as ‘gobar-gas’
Bio-gas contains up to 75% methane,23% Carbon dioxide and 2% other gases. It burns without smoke, leaves no residue like ash in wood, charcoal and coal burning. It is an excellent fuel","Definition, Property",Grade_10_Physics_Data
"Wind Energy and Wind mill
Unequal heating of the landmass and water bodies by solar radiation generates air movement and causes winds to blow. The wind contains the kinetic energy. This kinetic energy is used the windmill to do some mechanical work.
A windmill is a device in which kinetic energy of the wind is used to rotates a set of blades and rotational energy of the blades is used to do some mechanical work and power the turbine to generate electricity","Definition, Property, Effects",Grade_10_Physics_Data
"Solar Energy
Solar energy is the energy of Sun. The earth receives a huge amount of energy from the sun. Traditionally We have been solar energy for drying clothes and grains, make salt from sea water","Definition, Property",Grade_10_Physics_Data
"Solar cooker
Solar cooker is a device which is used to cook food by using solar energy. Solar cookers and solar water heaters are based on the facts that A black surface absorbs more heat as compared to a white or a reflecting surface under identical conditions
Solar cooker is having box type structure and its internal surfaces are coloured with black colour. Solar cookers are covered with a glass plate. Which traps heats to go out from box and shows greenhouse effect. A plane mirror is also used to focus the rays of the light. The food which need to be cooked ins kept inside the box and temperature around 140o C in summer in 2-3 hour and cooked the food","Definition, Property, Reasoning",Grade_10_Physics_Data
"Solar cells
A device which converts solar energy into electric energy is called solar cell. A solar cell can convert only 0.7% of the solar energy into electricity. Silicon is used in in creating the solar cells","Definition, Property",Grade_10_Physics_Data
"Solar cell panels
any solar cells combined in an arrangement is called Solar cell panels. The solar cells in the solar panel are connected in such a that total potential difference and total capacity to provide electric current becomes large
","Definition, Property",Grade_10_Physics_Data
"Tidal energy
Gravitational pull of the moon on the spinning earth produces tides in the ocean
This phenomenon is called high and low tides and the difference in sea-levels gives us tidal energy. Tidal energy is harnessed by constructing a dam across a narrow opening to the sea. A turbine fixed at the opening of the dam converts tidal energy to electricity","Definition, Property, Reasoning",Grade_10_Physics_Data
"Wave energy
When the wind passes on the water surface, it leads to the pressure difference between upper and bottom wind which results in the generation of waves. This wave energy can be harnessed to power electric generator
","Definition, Property",Grade_10_Physics_Data
"Ocean Thermal energy
The water at the surface of the sea or ocean is heated by the Sun while the water in deeper sections is relatively cold. Ocean-thermal-energy conversion plants Exploits this difference in temperature. The warm surface-water is used to boil a volatile liquid like ammonia. The vapors of the liquid are then used to run the turbine of generator. The cold water from the depth of the ocean is pumped up and condense vapour again to liquid","Definition, Property",Grade_10_Physics_Data
"Geothermal Energy
Geo means earth and thermal means heat. So, Geothermal energy is the energy which is obtained from heat inside the earth.
Sometimes molten rocks formed in the deeper hot regions of earth’s crust are pushed upward and trapped in certain regions called ‘hot spots’ and when underground comes in it contact, steam is generated and that steam can be used to power turbine","Definition, Property",Grade_10_Physics_Data
"Nuclear energy
Nuclear energy is generated through the process of Nuclear Fission. In Nuclear fission, A heavy nucleus is bombarded with a low energy neutron. In this process, it splits into two lighter nuclei with a tremendous release of energy which can be utilized to boil water to run turbines.
Nuclear energy is generated in a controlled manner in the Nuclear reactor
The major hazard of nuclear power generation is the storage and disposal of nucleus wastes because they are radioactive
Nuclear FusionNuclear Fusion means joining lighter nuclei to make a heavier nucleus, most commonly hydrogen or hydrogen isotopes to create helium
2H + 2H → 3He (+ n)
It releases a tremendous amount of energy,
The source of energy in the Sun and other stars is also because of Nuclear fusion reaction.","Definition, Property",Grade_10_Physics_Data
"hydrogen bomb
The hydrogen bomb is based on thermonuclear fusion reaction. A nuclear bomb based on the fission of uranium or plutonium is placed at the core of the hydrogen bomb. This nuclear bomb is embedded in a substance which contains deuterium and lithium. When the nuclear bomb (based on fission) is detonated, the temperature of this substance is raised to 107 K in a few microseconds. The high temperature generates sufficient energy for the light nuclei to fuse and a devastating amount of energy is released.","Definition, Property, Reasoning",Grade_10_Physics_Data
"The largest source of energy on land is sunlight. There are different purposes for which energy is needed such as for food, for lightning, transport, running machines etc.

","Property, Examples",Grade_10_Physics_Data
"A good source of energy should be-

Cheap and easily available.

Safe in handling and use.

Do not cause any environment pollution.

Easy to store and transport.

",Property,Grade_10_Physics_Data
"Fuels
Materials that are burnt and used to store energy are defined as fuels. For Example, Wood, Coal etc.","Definition, Examples",Grade_10_Physics_Data
"Features of Good Fuel-
It should have high calorific value.

It should not produce smoke while burning.

Cheap and easily available.

Easy to handle and safe to transport.

Convenient in storage.",Property,Grade_10_Physics_Data
"Sources of Energy
There are two types of Sources of Energy - Conventional Sources of Energy and Non-conventional Sources of Energy. Conventional sources of energy include the fossil fuels such as coal and petroleum. Non-conventional sources include solar cooker, solar cell panel etc","Types, Definition, Examples",Grade_10_Physics_Data
"Fossil Fuels

These fuels are developed from fossils.

They are present in limited amount.

They are non-renewable sources of energy.

These fuels cause pollution. They release different oxides which causes acid rain which damages plants, animals, houses etc. Excessive release of carbon-dioxide also causes global warming.

Pollution by the fossil fuels can be controlled by increasing the efficiency of combustion process and using other techniques to escape the harmful gases.","Definition, Property",Grade_10_Physics_Data
"Thermal Power Plants

Thermal power plant is used to generate electricity using heat. Burning of fossil fuels produces the steam which is used to run the turbines. This method helps in efficient transmission of electricity.","Definition, Property",Grade_10_Physics_Data
"Hydro Power Plants

Use to convert potential energy of falling water into electricity. They are associated with dams. They do not cause any pollution. Dam construction also prevents flooding of rivers and also provide water for irrigation.

But there are certain disadvantages associated with hydro power plants. Large areas are needed for hydro power plants. Human settlement is affected as well as large ecosystems are destroyed.","Definition, Property",Grade_10_Physics_Data
"Biomass

The dead remains of plants and animals is known as Biomass. 

Wood: It produces biomass and can be used as fuel for a long time. It produces smoke during burning. It does not produce much heat.
Charcoal: When wood is burnt in limited supply of oxygen, it produces charcoal. Charcoal is a better fuel than wood as it has high calorific value. It does not produce smoke while burning.

","Definition, Causes",Grade_10_Physics_Data
"Cow Dung: It produces lots of smoke. It does not completely burn. It has low calorific value. It also produces ash.

",Property,Grade_10_Physics_Data
"Bio Gas: Biogas plant produces biogas. It is an excellent fuel. It leaves no residue. Has a very high heat capacity. Biogas plant is used to treat farm wastes or energy crops. Biogas plant consists of large tank or digester. In this bacteria convert organic waste into methane gas using energy.

",Property,Grade_10_Physics_Data
"Wind Energy: Unequal heating of the water bodies and the landmasses by solar radiations will generate air movement and cause the wind to blow. This energy is used to generate electricity. It is an eco-friendly method and an efficient source of renewable energy.

","Definition, Property",Grade_10_Physics_Data
"Solar Energy: solar energy is the ultimate source of energy. There are different solar energy devices such as Solar Cooker, Solar Water heaters, Solar cells etc.

","Definition, Examples",Grade_10_Physics_Data
"Energy from the sea comes from surface waves and tidal power is obtained from kinetic energy of large bodies of moving water. Ocean water provide large amount of renewable energy.

","Definition, Property",Grade_10_Physics_Data
"Solar cooker use minimal fuel consumption and is a device that uses direct sunlight to cook or heat the drinks, food materials etc.

",Property,Grade_10_Physics_Data
"Solar cell is an electrical device that converts light energy into electricity. It is based on physical and chemical formula.

",Definition,Grade_10_Physics_Data
"Geothermal Energy: energy from the rocks present inside the earth. It does not cause any pollution and economic also. But the disadvantage is that, it is not available everywhere.

","Definition, Property",Grade_10_Physics_Data
