Paragraph,Labels
"Natural magnets come from magnetite. Magnetite contains iron and exhibits magnetic properties. Nowadays magnets can be made from pieces of iron. These are called artificial magnets and are made in different shapes like horse shoe magnet, bar magnet, etc.","Definiion, Property"
"The materials which get attracted by a magnet are called magnetic materials. E.g.: Iron
","Definiion, Property"
The materials which do not get attracted by a magnet are called non-magnetic materials. E.g.: Wood,"Definiion, Property"
"POLES OF MAGNETS
The ends of a magnet are called its poles. A magnet has two poles regardless of its shape. These are the North and South poles which are marked on the magnet as ‘N’ and ‘S’ respectively.
A freely suspended bar magnet always points in the North-South direction.
The North pole of the magnet always points towards the North pole of the Earth and the South pole of the magnet always points towards the South pole the Earth.","Definition, Property, Types"
"COMPASS
A compass is a small box which has a magnetised needle pivoted inside it. The box also has a glass cover on it. The needle inside is free to rotate over a dial which has directions marked on it.
A compass is mainly used for navigation purposes.
 ","Definition, Property, Types"
"LIKE POLES AND UNLIKE POLES
It is observed that like poles repel each other. However, unlike poles attract each other.",Property
"Note that magnets may lose their properties if they are dropped, heated or hammered. The magnets become weak if they are not stored properly. Therefore, magnets should be stored properly and carefully.
 ",Property
"Luminous Object: The objects that produce light are called the luminous objects. The Sun, bulb, tube light, torch lighted candle are examples of luminous objects.

","Definition, Reasoning, Examples, Types"
Non-luminous object: The objects that do not produce light are called the non-luminous object. Moon is an example of non-luminous objects.,"Definition, Examples"
"What is the Propagation of Light
Light travels in a straight line. The propagation of light mainly refers to the process of transferring the electromagnetic waves from one point to another.","Definition, Examples"
"What is Electric Cell?
A device which is used to generate an electric current through the series of chemical reactions is called the Electric cell. There are two types of Electric cells:","Definition, Types"
"Dry type or Dry cell– It is the types of electricity-producing chemical cell, which do not have liquids in it. The batteries or cell used in the torchlight are examples of dry cells.","Types, Examples, Property"
Wet type or Wet cell – It is the original types of rechargeable batteries composed of a liquid electrolyte. The car batteries are an example of wet cells.,"Types, Examples, Property"
"What is Electric Circuit
An electric circuit is defined as the closed surface or a path through which the electric current flows. In an electric circuit, current flows from the positive terminal to the negative terminal. A simple electric circuit comprises of the power source, conductors, switch and load.","Definition, Property"
"An electric switch is a device or a component that is used to break an electrical circuit, either by interrupting the flow of current or by diverting the flow of current from one conductor to another.",Definition
Conductors and insulators are important materials in the field of electronics. They are differentiated based on their ability to allow electric current to pass through them. All metals are good conductors of electricity and the non-metals including wood are insulators and bad conductors of electricity as do not allow electric current to pass through them.,"Examples, Reasoning, Property"
"What is Magnet?
Objects which attract magnetic materials like cobalt, iron, and nickel are called as a magnet.

A magnet was discovered by an ancient Greek shepherd named Magnes. Therefore, this naturally occurring mineral – magnet was named by the discover’s name. The magnets, obtained naturally from a Magnetite rock, are called as the natural magnets and those magnets prepared by the combination of certain mineral ores are called as the artificial magnets.","Definition, Examples"
"Magnetic Materials: Cobalt, iron, and nickel are some examples of Magnetic Materials. These materials easily attract towards a magnet.","Examples, Property"
"Non-magnetic Materials: Aluminum, zinc, wood, and rubber are called the Non-magnetic Materials, as these materials are not attracted towards the magnet even when they are brought closer to the magnets.","Examples, Definition"
"Types of Magnets
There are different types of magnets and are classified based on their shapes. The different types of magnets include – bar magnet, dumb-bell shaped magnet, horseshoe magnet, cylindrical magnet, etc.",Types
"Magnetic compass
The magnetic compass is a simple device which has been used from the ancient times by the sailors and other travelers to find directions. A magnetic compass is composed of a small box with a glass top and a magnetic needle which moves and indicates the directions.",Property
